Id,Weekly_Sales
1_1_2012-11-02,34937.18377857144
1_1_2012-11-09,19392.367945238107
1_1_2012-11-16,19413.460333333343
1_1_2012-11-23,19905.22690000001
1_1_2012-11-30,24061.406309523816
1_1_2012-12-07,31598.141961904756
1_1_2012-12-14,42297.59107142855
1_1_2012-12-21,48064.733547619035
1_1_2012-12-28,22795.993314285704
1_1_2013-01-04,17259.4782829932
1_1_2013-01-11,17782.7553782313
1_1_2013-01-18,18004.6806537415
1_1_2013-01-25,18969.639404761896
1_1_2013-02-01,24175.77216190475
1_1_2013-02-08,39037.19799047622
1_1_2013-02-15,47151.802238095275
1_1_2013-02-22,20359.353378231288
1_1_2013-03-01,20782.921375850336
1_1_2013-03-08,21159.627514285716
1_1_2013-03-15,21638.464897959184
1_1_2013-03-22,23836.948095238095
1_1_2013-03-29,29395.113000000023
1_1_2013-04-05,47726.16670000002
1_1_2013-04-12,31545.360542857143
1_1_2013-04-19,23667.433019047614
1_1_2013-04-26,17228.61228809523
1_1_2013-05-03,17685.03401190475
1_1_2013-05-10,18140.18740476191
1_1_2013-05-17,18064.55299761906
1_1_2013-05-24,17506.306633333345
1_1_2013-05-31,17486.631704761912
1_1_2013-06-07,17475.288821428574
1_1_2013-06-14,17443.769057142857
1_1_2013-06-21,17469.299223809525
1_1_2013-06-28,17427.165985714284
1_1_2013-07-05,17482.51800952381
1_1_2013-07-12,17437.07906904762
1_1_2013-07-19,17407.086985714286
1_1_2013-07-26,17374.31589047619
1_2_2012-11-02,44395.52402857143
1_2_2012-11-09,44097.035295238085
1_2_2012-11-16,43817.960028571426
1_2_2012-11-23,43731.781740476195
1_2_2012-11-30,44342.92748095237
1_2_2012-12-07,46239.32910714283
1_2_2012-12-14,49610.82050238094
1_2_2012-12-21,54939.86403095234
1_2_2012-12-28,42298.70165476191
1_2_2013-01-04,44793.76572142856
1_2_2013-01-11,44397.200261904756
1_2_2013-01-18,44474.754773809516
1_2_2013-01-25,45354.12387857142
